Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782221793,50,,Aggregated,0.700000,0.100000,17000,25000,26000,28000,33000,33000,35000,53000,53000,53000,53000,86,2,17000.0,17277.643136039842,1386.8428000132553,53445.76919998508,19751.302325581397
1782221794,50,,Aggregated,0.400000,0.100000,19000,26000,27000,28000,33000,34000,35000,53000,53000,53000,53000,88,2,17000.0,17540.90461931165,1386.8428000132553,53445.76919998508,19305.113636363636
1782221795,50,,Aggregated,0.400000,0.100000,19000,26000,27000,28000,33000,34000,35000,53000,53000,53000,53000,88,2,17000.0,17540.90461931165,1386.8428000132553,53445.76919998508,19305.113636363636
1782221796,50,,Aggregated,0.400000,0.100000,19000,26000,27000,28000,33000,34000,35000,53000,53000,53000,53000,88,2,17000.0,17540.90461931165,1386.8428000132553,53445.76919998508,19305.113636363636
1782221797,50,,Aggregated,0.500000,0.100000,20000,26000,27000,28000,33000,35000,53000,59000,59000,59000,59000,90,2,19000.0,18219.442948882675,1386.8428000132553,59191.01890001912,18878.1
1782221798,50,,Aggregated,0.500000,0.100000,20000,26000,27000,28000,33000,35000,53000,59000,59000,59000,59000,90,2,19000.0,18219.442948882675,1386.8428000132553,59191.01890001912,18878.1
1782221799,50,,Aggregated,0.500000,0.100000,20000,26000,27000,28000,33000,35000,53000,59000,59000,59000,59000,90,2,19000.0,18219.442948882675,1386.8428000132553,59191.01890001912,18878.1
1782221800,50,,Aggregated,0.500000,0.000000,22000,26000,27000,28000,33000,35000,53000,59000,59000,59000,59000,92,2,20000.0,18551.83490108048,1386.8428000132553,59191.01890001912,18470.293478260868
1782221801,50,,Aggregated,0.500000,0.000000,22000,26000,27000,28000,33000,35000,53000,59000,59000,59000,59000,92,2,20000.0,18551.83490108048,1386.8428000132553,59191.01890001912,18470.293478260868
1782221802,50,,Aggregated,0.600000,0.000000,22000,26000,27000,28000,33000,37000,53000,59000,59000,59000,59000,93,2,22000.0,18808.79641934899,1386.8428000132553,59191.01890001912,18272.967741935485
1782221803,50,,Aggregated,0.600000,0.000000,22000,26000,27000,28000,33000,37000,53000,59000,59000,59000,59000,93,2,22000.0,18808.79641934899,1386.8428000132553,59191.01890001912,18272.967741935485
1782221804,50,,Aggregated,0.600000,0.000000,22000,26000,27000,28000,33000,37000,53000,59000,59000,59000,59000,93,2,22000.0,18808.79641934899,1386.8428000132553,59191.01890001912,18272.967741935485
1782221805,50,,Aggregated,0.600000,0.000000,23000,26000,28000,28000,34000,40000,53000,59000,59000,59000,59000,94,2,22000.0,19082.44118297304,1386.8428000132553,59191.01890001912,18079.840425531915
1782221806,50,,Aggregated,0.600000,0.000000,23000,26000,28000,28000,34000,40000,53000,59000,59000,59000,59000,94,2,22000.0,19082.44118297304,1386.8428000132553,59191.01890001912,18079.840425531915
1782221807,50,,Aggregated,0.500000,0.000000,24000,26000,28000,30000,35000,47000,64000,69000,69000,69000,69000,98,2,23000.0,20407.178009177762,1386.8428000132553,68797.57519997656,17347.051020408162
1782221808,50,,Aggregated,0.500000,0.000000,24000,26000,28000,30000,35000,47000,64000,69000,69000,69000,69000,98,2,23000.0,20407.178009177762,1386.8428000132553,68797.57519997656,17347.051020408162
1782221809,50,,Aggregated,0.500000,0.000000,24000,26000,28000,30000,35000,47000,64000,69000,69000,69000,69000,98,2,23000.0,20407.178009177762,1386.8428000132553,68797.57519997656,17347.051020408162
1782221810,50,,Aggregated,0.500000,0.000000,24000,26000,28000,30000,35000,47000,64000,69000,69000,69000,69000,98,2,23000.0,20407.178009177762,1386.8428000132553,68797.57519997656,17347.051020408162
1782221811,50,,Aggregated,0.800000,0.000000,24000,27000,28000,31000,37000,53000,69000,71000,71000,71000,71000,100,2,24000.0,21001.954062994337,1386.8428000132553,71164.67919998104,17001.9
1782221812,50,,Aggregated,0.800000,0.000000,24000,27000,28000,31000,37000,53000,69000,71000,71000,71000,71000,100,2,24000.0,21001.954062994337,1386.8428000132553,71164.67919998104,17001.9
1782221813,50,,Aggregated,0.600000,0.000000,24000,27000,28000,31000,37000,47000,64000,69000,71000,71000,71000,101,2,24000.0,21258.248853459747,1386.8428000132553,71164.67919998104,16834.158415841583
1782221814,50,,Aggregated,0.600000,0.000000,24000,27000,28000,31000,37000,47000,64000,69000,71000,71000,71000,101,2,24000.0,21258.248853459747,1386.8428000132553,71164.67919998104,16834.158415841583
1782221815,50,,Aggregated,0.600000,0.000000,24000,27000,28000,31000,37000,47000,64000,69000,71000,71000,71000,101,2,24000.0,21258.248853459747,1386.8428000132553,71164.67919998104,16834.158415841583
1782221816,50,,Aggregated,0.800000,0.000000,24000,27000,29000,33000,42000,56000,69000,71000,73000,73000,73000,104,3,24000.0,21901.635249994935,1386.8428000132553,72918.06029999861,16350.278846153846
1782221817,50,,Aggregated,0.800000,0.000000,24000,27000,29000,33000,42000,56000,69000,71000,73000,73000,73000,104,3,24000.0,21901.635249994935,1386.8428000132553,72918.06029999861,16350.278846153846
1782221818,50,,Aggregated,0.800000,0.000000,24000,27000,29000,33000,42000,56000,69000,71000,73000,73000,73000,104,3,24000.0,21901.635249994935,1386.8428000132553,72918.06029999861,16350.278846153846
1782221819,50,,Aggregated,0.800000,0.000000,24000,27000,29000,33000,42000,56000,69000,71000,73000,73000,73000,104,3,24000.0,21901.635249994935,1386.8428000132553,72918.06029999861,16350.278846153846
1782221820,50,,Aggregated,0.800000,0.000000,24000,27000,29000,33000,42000,56000,69000,71000,73000,73000,73000,104,3,24000.0,21901.635249994935,1386.8428000132553,72918.06029999861,16350.278846153846
1782221821,50,,Aggregated,0.600000,0.100000,24000,27000,30000,33000,47000,59000,71000,73000,73000,73000,73000,106,3,24000.0,22672.083292447496,1386.8428000132553,73245.27839996153,16042.915094339623
1782221822,50,,Aggregated,0.600000,0.100000,24000,27000,30000,33000,47000,59000,71000,73000,73000,73000,73000,106,3,24000.0,22672.083292447496,1386.8428000132553,73245.27839996153,16042.915094339623
1782221823,50,,Aggregated,0.600000,0.100000,24000,27000,30000,33000,47000,59000,71000,73000,73000,73000,73000,106,3,24000.0,22672.083292447496,1386.8428000132553,73245.27839996153,16042.915094339623
1782221824,50,,Aggregated,0.600000,0.100000,24000,27000,30000,33000,47000,59000,71000,73000,73000,73000,73000,106,3,24000.0,22672.083292447496,1386.8428000132553,73245.27839996153,16042.915094339623
1782221825,50,,Aggregated,0.600000,0.100000,24000,27000,30000,33000,47000,59000,71000,73000,73000,73000,73000,106,3,24000.0,22672.083292447496,1386.8428000132553,73245.27839996153,16042.915094339623
1782221826,50,,Aggregated,0.500000,0.100000,24000,27000,31000,33000,47000,64000,71000,73000,73000,73000,73000,108,3,24000.0,23182.163464809288,1386.8428000132553,73245.27839996153,15748.027777777777
1782221827,50,,Aggregated,0.500000,0.100000,24000,28000,33000,34000,53000,66000,71000,73000,73000,73000,73000,110,3,24000.0,23963.333406358088,1386.8428000132553,73245.27839996153,15463.327272727272
1782221828,50,,Aggregated,0.500000,0.100000,24000,28000,33000,34000,53000,66000,71000,73000,73000,73000,73000,110,3,24000.0,23963.333406358088,1386.8428000132553,73245.27839996153,15463.327272727272
1782221829,50,,Aggregated,0.500000,0.100000,24000,28000,33000,34000,53000,66000,71000,73000,73000,73000,73000,110,3,24000.0,23963.333406358088,1386.8428000132553,73245.27839996153,15463.327272727272
1782221830,50,,Aggregated,0.400000,0.000000,24000,28000,33000,34000,53000,68000,71000,73000,73000,73000,73000,113,4,24000.0,24255.236477870287,756.6996999667026,73245.27839996153,15054.902654867257
1782221831,50,,Aggregated,0.400000,0.000000,24000,28000,33000,34000,53000,68000,71000,73000,73000,73000,73000,113,4,24000.0,24255.236477870287,756.6996999667026,73245.27839996153,15054.902654867257
1782221832,50,,Aggregated,0.400000,0.000000,24000,28000,33000,34000,53000,68000,71000,73000,73000,73000,73000,113,4,24000.0,24255.236477870287,756.6996999667026,73245.27839996153,15054.902654867257
1782221833,50,,Aggregated,0.900000,0.100000,24000,28000,33000,35000,53000,68000,71000,73000,73000,73000,73000,114,4,24000.0,24350.097380695956,756.6996999667026,73245.27839996153,14923.88596491228
1782221836,50,,Aggregated,0.800000,0.100000,24000,28000,33000,35000,53000,68000,71000,73000,73000,73000,73000,115,4,24000.0,24440.218313037338,756.6996999667026,73245.27839996153,14795.147826086957
1782221837,50,,Aggregated,0.800000,0.100000,24000,28000,33000,35000,53000,68000,71000,73000,73000,73000,73000,115,4,24000.0,24440.218313037338,756.6996999667026,73245.27839996153,14795.147826086957
1782221838,50,,Aggregated,0.900000,0.100000,25000,28000,34000,35000,64000,71000,77000,79000,79000,79000,79000,119,4,25000.0,25927.84283444835,756.6996999667026,78702.72860000841,14301.33613445378
1782221839,50,,Aggregated,0.900000,0.100000,25000,28000,34000,35000,64000,71000,77000,79000,79000,79000,79000,119,4,25000.0,25927.84283444835,756.6996999667026,78702.72860000841,14301.33613445378
